redshift,name
,4FGL_J0316.2-6437
1.9,4FGL_J0316.2+0905
,4FGL_J0316.2-2608
0.529,4FGL_J0316.6-2216
0.414487,4FGL_J0316.8+4120
0.128889,4FGL_J0316.9-0625
,4FGL_J0317.7-2804
,4FGL_J0317.8-4414
,4FGL_J0318.2+0254
0.44,4FGL_J0318.7+2135
,4FGL_J0318.8+2848
2.051,4FGL_J0319.4-7045
,4FGL_J0319.8+4130
0.7,4FGL_J0319.8+1845
0.05494,4FGL_J0319.9-3821
0.37,4FGL_J0320.6+1125
,4FGL_J0321.3+0425
1.724,4FGL_J0321.3-1612
1.238,4FGL_J0321.7-7500
1.508,4FGL_J0322.0+2335
1.535,4FGL_J0322.4+6606
0.653,4FGL_J0322.6-3712e
,4FGL_J0322.9+0940
,4FGL_J0323.6+6142
,4FGL_J0323.7-0111
1.85,4FGL_J0324.3-1313
,4FGL_J0324.8+3412
,4FGL_J0324.8-2043
,4FGL_J0325.0-2416
,4FGL_J0325.2+4705
0.8319,4FGL_J0325.3+3332
0.49,4FGL_J0325.5-5635
,4FGL_J0325.6-1646
0.681,4FGL_J0325.7+2225
,4FGL_J0325.9-1843
,4FGL_J0326.2+0225
,4FGL_J0326.7-3404
1.153,4FGL_J0327.3+2355c
0.563,4FGL_J0327.5-1805
0.203,4FGL_J0327.6+2620
,4FGL_J0328.0+6046
,4FGL_J0328.4-4736
,4FGL_J0328.6-1129
,4FGL_J0328.6+5330
1.7e-05,4FGL_J0328.8-5715
1.253,4FGL_J0328.9+3514
0.928,4FGL_J0330.1+5038
,4FGL_J0330.6+4659
0.126,4FGL_J0330.6+0438
,4FGL_J0330.7+5845
0.059,4FGL_J0330.7-2408
0.421,4FGL_J0331.1-5243
,4FGL_J0331.2-0919
1.727,4FGL_J0331.3-6156
,4FGL_J0331.8-7040
,4FGL_J0331.9+6307
,4FGL_J0332.1-1123
,4FGL_J0332.2-1737
